"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -2.471703618,      -2.114709993,      -2.701377863,      -1.917972988
          0,           0,           1,      -2.625875334,      -2.277241352,       -2.87369998,      -2.071693453
          0,           0,           2,      -2.779455109,      -2.437104634,      -3.021857168,      -2.223037656
          0,           0,           3,      -2.922751091,      -2.586922476,      -3.133374229,        -2.3634585
          0,           0,           4,      -3.035307671,      -2.699411371,      -3.214448012,      -2.475900043
          0,           0,           5,      -3.116262383,      -2.793847905,      -3.293944331,       -2.56322184
          0,           0,           6,        -3.1619549,      -2.852240255,      -3.370542739,      -2.615738652
          0,           0,           7,      -3.186103207,      -2.879595642,      -3.379804133,      -2.648052309
          0,           0,           8,      -3.201701207,      -2.889585117,      -3.185377294,      -2.669696805
          0,           0,           9,      -3.204471988,       -2.88978824,      -3.090059825,      -2.671115361
          0,           0,          10,      -3.217878667,      -2.878541916,      -3.168258847,        -2.6873371
          0,           0,          11,      -3.214263817,      -2.868632493,      -3.232573684,      -2.683492383
          0,           0,          12,       -3.19512455,      -2.860277992,      -3.198413516,      -2.655126911
          0,           0,          13,      -3.212370034,      -2.868358923,      -3.229862115,      -2.676629828
          0,           0,          14,      -3.236767132,      -2.874189491,       -3.26181833,      -2.704807847
          0,           0,          15,      -3.238423022,      -2.876538004,      -3.145256277,      -2.705223979
          0,           0,          16,      -3.211499085,      -2.864511415,      -3.097218211,      -2.668646301
          0,           0,          17,      -3.213829652,      -2.860841646,      -3.177798551,      -2.673965213
          0,           0,          18,      -3.211120151,      -2.848946861,      -3.205221976,      -2.677093364
          0,           0,          19,      -3.216724127,      -2.852381507,      -3.218025234,      -2.684128445
          0,           0,          20,      -3.210262063,      -2.846074554,      -3.232140873,      -2.673005161
          0,           0,          21,      -3.219532588,      -2.857903524,      -3.272636792,      -2.686963009
          0,           0,          22,      -3.208486361,       -2.85415068,      -3.256754937,      -2.670652968
          0,           0,          23,      -3.181543786,      -2.841657212,      -3.130411281,       -2.63846817
          0,           0,          24,      -3.166250235,      -2.835843556,      -3.090994553,      -2.601763883
          0,           0,          25,      -3.177029355,      -2.837694237,      -3.197145278,      -2.617307159
          0,           0,          26,      -3.181575696,      -2.835289606,      -3.263212526,      -2.621601747
          0,           0,          27,      -3.166029415,      -2.813085778,       -3.23152376,      -2.603660228
          0,           0,          28,      -3.171654502,      -2.822247767,      -3.234085748,      -2.620859641
          0,           0,          29,       -3.17474878,      -2.828862767,      -3.235040774,      -2.618727437
          0,           0,          30,      -3.176074996,       -2.82976863,      -3.165643698,      -2.616537497
          0,           0,          31,      -3.167836646,      -2.834666681,      -3.109591385,      -2.606981244
          0,           0,          32,      -3.178318064,      -2.840065876,      -3.203640673,      -2.625319501
          0,           0,          33,      -3.196572644,      -2.844621437,      -3.259152497,      -2.647369152
          0,           0,          34,      -3.197480247,       -2.84151793,       -3.29198706,      -2.645440925
          0,           0,          35,      -3.173788238,      -2.815000963,      -3.242000838,      -2.609992802
          0,           0,          36,      -3.169781877,      -2.823083499,      -3.140665649,      -2.611818662
          0,           0,          37,      -3.173951399,      -2.830038732,      -3.131964367,       -2.61316546
          0,           0,          38,      -3.178402181,      -2.834481813,      -3.174880608,      -2.615445225
          0,           0,          39,      -3.168301204,      -2.827979002,      -3.199214943,      -2.606607592
          0,           0,          40,      -3.186328484,      -2.836667961,      -3.273253643,       -2.63353676
          0,           0,          41,      -3.194533531,      -2.840645414,      -3.312326843,      -2.644773643
          0,           0,          42,       -3.18979562,      -2.837086046,       -3.27327541,      -2.638836205
          0,           0,          43,      -3.177104797,      -2.825679013,       -3.22632446,      -2.621486746
          0,           0,          44,      -3.183538716,      -2.836534463,       -3.14258968,      -2.623793643
          0,           0,          45,      -3.174673147,      -2.840579557,      -3.068358921,      -2.615276867
          0,           0,          46,       -3.18432614,      -2.845045799,      -3.167416842,       -2.63302998
          0,           0,          47,      -3.200911373,      -2.850113528,      -3.237569289,      -2.655486237
          0,           0,          48,      -3.204738267,      -2.851547535,      -3.255166038,      -2.660211264
          0,           0,          49,      -3.190977282,      -2.839754786,      -3.235279243,      -2.637879843
          0,           0,          50,      -3.193680841,       -2.84172496,        -3.2599057,       -2.63395383
          0,           0,          51,      -3.192873787,      -2.845005534,      -3.226405658,      -2.633904289
          0,           0,          52,      -3.185130179,      -2.844929009,       -3.14001793,      -2.629614264
          0,           0,          53,       -3.18105991,      -2.848045798,      -3.068089331,      -2.628116585
          0,           0,          54,      -3.172438689,       -2.84051837,       -3.13373451,      -2.615758572
          0,           0,          55,       -3.18136783,      -2.836894951,      -3.202278364,      -2.622442863
          0,           0,          56,      -3.176466035,      -2.824955054,      -3.249838404,      -2.613008327
          0,           0,          57,      -3.188578564,      -2.836923241,      -3.296045787,      -2.632271782
          0,           0,          58,      -3.185446277,      -2.835473104,      -3.271972673,      -2.635729487
          0,           0,          59,       -3.18173642,       -2.83180299,      -3.196552546,      -2.630729061
          0,           0,          60,      -3.167493946,      -2.823567673,      -3.124481904,      -2.612494127
          0,           0,          61,      -3.168014125,      -2.831261727,       -3.11539365,      -2.611985334
          0,           0,          62,      -3.174008697,      -2.833408517,      -3.160035513,      -2.610436988
          0,           0,          63,      -3.189804484,      -2.837983278,      -3.218553247,      -2.628416209
          0,           0,          64,      -3.198238293,      -2.832224385,      -3.292852052,      -2.640499182
          0,           0,          65,      -3.200868435,      -2.838380921,      -3.290914259,      -2.651554379
          0,           0,          66,       -3.18873624,       -2.82770896,      -3.222331498,       -2.63674592
          0,           0,          67,      -3.191342971,      -2.834343024,      -3.192621236,      -2.640090061
          0,           0,          68,      -3.192033778,      -2.845081256,      -3.133691037,      -2.641606079
          0,           0,          69,      -3.189504642,      -2.846257525,      -3.116223563,      -2.637434336
          0,           0,          70,      -3.196663119,      -2.848458849,      -3.193268274,      -2.641513596
          0,           0,          71,      -3.194616435,      -2.837375591,      -3.190520054,      -2.639378134
          0,           0,          72,      -3.174245988,      -2.826874692,      -3.154258251,      -2.614228746
          0,           0,          73,      -3.187384014,      -2.835906732,      -3.231077229,      -2.632038483
          0,           0,          74,      -3.189776821,       -2.83855928,      -3.264734017,        -2.6369133
          0,           0,          75,      -3.189912936,      -2.838954036,      -3.268687655,      -2.639951691
          0,           0,          76,      -3.182632006,      -2.841458698,      -3.172595461,      -2.632744462
          0,           0,          77,      -3.169062754,      -2.834237974,      -3.113361345,      -2.618392559
          0,           0,          78,      -3.155012007,      -2.819638634,      -3.148046564,      -2.602122341
          0,           0,          79,      -3.173398764,      -2.828416496,      -3.207304691,      -2.624377473
          0,           0,          80,      -3.174240276,       -2.83053468,      -3.225968976,      -2.624631621
          0,           0,          81,        -3.1769534,      -2.832239853,      -3.258513484,      -2.621652868
          0,           0,          82,      -3.182664827,      -2.833712396,      -3.296028808,      -2.626578673
          0,           0,          83,      -3.174737258,      -2.828457943,      -3.172008324,      -2.618108995
          0,           0,          84,      -3.155193514,      -2.816079683,       -3.10256613,      -2.599192471
          0,           0,          85,      -3.161885785,      -2.820897823,      -3.119198739,      -2.601828695
          0,           0,          86,      -3.172235023,      -2.827502065,      -3.187002145,      -2.619271639
          0,           0,          87,      -3.181369555,      -2.834591368,       -3.24316063,      -2.630651392
          0,           0,          88,      -3.176155262,      -2.830983789,      -3.228742588,      -2.626070288
          0,           0,          89,      -3.173676881,      -2.829404949,      -3.241320735,      -2.616432458
          0,           0,          90,      -3.158541967,        -2.8117573,      -3.211742862,      -2.597485723
          0,           0,          91,      -3.158058527,       -2.81328885,      -3.177062814,      -2.596562611
          0,           0,          92,      -3.146821594,      -2.801849771,      -3.128377299,       -2.58935675
          0,           0,          93,      -3.148252786,      -2.808222126,      -3.144281318,      -2.590914806
          0,           0,          94,      -3.151052242,       -2.80320009,      -3.194943211,      -2.589600122
          0,           0,          95,      -3.156036161,       -2.80854839,      -3.204442446,      -2.599455555
          0,           0,          96,      -3.148836537,      -2.793293053,      -3.198111068,      -2.586602044
          0,           0,          97,      -3.161143517,      -2.811628788,      -3.260820936,      -2.604123413
          0,           0,          98,       -3.16715294,      -2.820368347,      -3.229945778,      -2.617810217
          0,           0,          99,      -3.173304549,      -2.830202311,      -3.156458386,      -2.622255807
          0,           0,         100,      -3.182643628,      -2.841913441,      -3.132407263,      -2.626971213
