,Index,X/De,M,P/Pe
0,0,0.0,1.0,1.00447211322966
1,1,0.2900000000000001,1.1623246492985972,0.8232281323312439
2,2,0.4300000000000002,1.3246492985971945,0.6635092553932834
3,3,0.5300000000000002,1.468937875751503,0.5416807125345915
4,4,0.6400000000000003,1.6312625250501003,0.427036193059029
5,5,0.7400000000000004,1.7935871743486973,0.334178949380021
6,6,0.8400000000000005,1.9559118236472948,0.26023395330663
7,7,0.9200000000000006,2.1002004008016035,0.20785841817857584
8,8,1.010000000000001,2.2625250501002006,0.1612436907185238
9,9,1.1000000000000008,2.4248496993987976,0.12510672269089512
10,10,1.1900000000000008,2.5871743486973946,0.09719976072011771
11,11,1.270000000000001,2.7314629258517034,0.0778118206844994
12,12,1.350000000000001,2.8937875751503004,0.06075078613783626
13,13,1.440000000000001,3.056112224448898,0.047595304141150284
14,14,1.5200000000000011,3.218436873747495,0.03743369463710725
15,15,1.6000000000000012,3.3627254509018036,0.030343944001821273
16,16,1.6900000000000013,3.525050100200401,0.024058978125479816
17,17,1.7700000000000014,3.687374749498998,0.01916191910979116
18,18,1.8500000000000012,3.849699398797595,0.015331698198027993
19,19,1.9300000000000013,3.993987975951904,0.012623576546856363
