"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -2.468500504,      -2.162405628,      -2.688359628,      -1.921649186
          0,           0,           1,      -2.665561832,      -2.357221099,      -2.885612745,       -2.11749818
          0,           0,           2,      -2.833455754,       -2.52197824,       -3.04648752,      -2.279995885
          0,           0,           3,      -2.965439408,      -2.652794687,      -3.172595952,      -2.406198077
          0,           0,           4,       -3.05544256,      -2.749413267,      -3.223731487,      -2.493041853
          0,           0,           5,      -3.128835684,      -2.814136073,      -3.305151239,      -2.570742158
          0,           0,           6,      -3.181010208,      -2.863610035,      -3.377038587,      -2.625715934
          0,           0,           7,      -3.220739762,      -2.899639317,        -3.3696717,      -2.663711145
          0,           0,           8,      -3.226563632,      -2.894706608,      -3.132542283,      -2.678027374
          0,           0,           9,      -3.239517706,      -2.890431139,      -3.100726746,      -2.693025509
          0,           0,          10,        -3.2470206,      -2.883704454,       -3.13920408,      -2.706958887
          0,           0,          11,      -3.223541878,      -2.867873065,       -3.13913929,      -2.670141412
          0,           0,          12,      -3.224196123,      -2.868549826,      -3.168638519,        -2.6623864
          0,           0,          13,        -3.2588412,      -2.879396047,      -3.228050741,      -2.702016136
          0,           0,          14,      -3.287623833,       -2.88227268,      -3.277482717,      -2.737739714
          0,           0,          15,       -3.28467553,      -2.872852841,      -3.273427116,      -2.738833757
          0,           0,          16,      -3.286221068,      -2.877378837,       -3.29471849,      -2.745604238
          0,           0,          17,      -3.276510231,       -2.87882455,      -3.156903183,      -2.734046609
          0,           0,          18,      -3.262003133,      -2.880246398,      -3.112197226,      -2.710915425
          0,           0,          19,      -3.249519935,      -2.870078652,      -3.130901179,      -2.700157139
          0,           0,          20,      -3.245572438,       -2.85756478,       -3.14814987,       -2.69644001
          0,           0,          21,      -3.266980944,      -2.865117517,      -3.211035531,      -2.719032997
          0,           0,          22,      -3.273153155,      -2.867055438,      -3.249095091,      -2.724531159
          0,           0,          23,      -3.274393552,      -2.864604321,      -3.265383683,       -2.73399356
          0,           0,          24,      -3.282639635,      -2.868339847,      -3.280771929,       -2.74513015
          0,           0,          25,      -3.271978038,      -2.870300654,      -3.143980596,      -2.728604545
          0,           0,          26,      -3.243144133,      -2.861077279,      -3.090836688,      -2.688204534
          0,           0,          27,       -3.23909897,      -2.860111509,      -3.123646845,      -2.685218617
          0,           0,          28,      -3.255826074,      -2.860830573,      -3.176393828,      -2.701606935
          0,           0,          29,      -3.268429871,      -2.862964579,      -3.224262096,      -2.711030315
          0,           0,          30,      -3.276628282,       -2.86645212,      -3.270167293,      -2.723494249
          0,           0,          31,      -3.276627147,      -2.863160314,      -3.308372583,      -2.732622387
          0,           0,          32,       -3.27731296,      -2.863411778,      -3.307549116,      -2.736864708
          0,           0,          33,      -3.243327928,      -2.849107058,      -3.130991266,      -2.692449122
          0,           0,          34,      -3.222846457,      -2.847672675,      -3.084625011,      -2.663044896
          0,           0,          35,       -3.23019907,      -2.850645906,      -3.158863057,      -2.670318164
          0,           0,          36,      -3.244964018,      -2.853914825,       -3.20830166,      -2.689144937
          0,           0,          37,      -3.260286539,      -2.858410098,      -3.253890659,       -2.70813443
          0,           0,          38,      -3.259160918,      -2.855907824,      -3.284676836,      -2.707764658
          0,           0,          39,      -3.237130603,      -2.838148704,      -3.240541854,      -2.684518281
          0,           0,          40,      -3.236409107,      -2.841033344,      -3.243082311,      -2.683596633
          0,           0,          41,       -3.23238961,      -2.850541559,      -3.134850105,      -2.677983569
          0,           0,          42,      -3.228633713,      -2.857123698,      -3.099550752,      -2.669687079
          0,           0,          43,      -3.241600721,      -2.861640312,       -3.18461195,      -2.680938581
          0,           0,          44,      -3.257279334,      -2.863859099,      -3.214601612,      -2.703373993
          0,           0,          45,      -3.252283336,      -2.853996596,      -3.208981826,      -2.701799179
          0,           0,          46,      -3.254634756,      -2.850478822,      -3.234368634,       -2.70658923
          0,           0,          47,      -3.258060891,      -2.853240356,      -3.260684211,      -2.708543701
          0,           0,          48,      -3.252746543,      -2.851320429,      -3.232225176,      -2.699540563
          0,           0,          49,      -3.249221119,      -2.860219744,      -3.141216291,      -2.695334843
          0,           0,          50,      -3.235908955,       -2.86232935,      -3.098116855,      -2.679851646
          0,           0,          51,      -3.235985394,      -2.862829893,      -3.160798245,      -2.685897597
          0,           0,          52,      -3.232776222,      -2.854661088,      -3.175290361,      -2.683962157
          0,           0,          53,      -3.255126424,      -2.863140375,      -3.245665368,      -2.712322808
          0,           0,          54,      -3.251077139,      -2.860819408,      -3.321194009,      -2.704617301
          0,           0,          55,      -3.238897633,       -2.85175803,      -3.312594422,      -2.698379525
          0,           0,          56,      -3.208663511,       -2.83653039,       -3.25544984,      -2.645127564
          0,           0,          57,       -3.19642044,      -2.828492776,      -3.134356182,       -2.63457815
          0,           0,          58,      -3.175692649,      -2.824303132,      -3.091394076,      -2.609072515
          0,           0,          59,      -3.176612191,      -2.821501429,      -3.133049809,      -2.615093113
          0,           0,          60,      -3.208100293,      -2.834508775,      -3.161202901,      -2.649477226
          0,           0,          61,      -3.226090588,      -2.839914617,      -3.222745917,      -2.667178007
          0,           0,          62,      -3.257959537,       -2.85245586,      -3.273872186,      -2.711103435
          0,           0,          63,       -3.26379064,      -2.852082177,      -3.261264824,      -2.718766625
          0,           0,          64,      -3.257893087,      -2.848520999,      -3.240765904,      -2.711257095
          0,           0,          65,      -3.263267261,      -2.862243762,      -3.149874633,      -2.709794233
          0,           0,          66,      -3.245378302,      -2.862462113,      -3.106991737,      -2.695578976
          0,           0,          67,      -3.241101459,      -2.859661032,      -3.153675622,      -2.696271255
          0,           0,          68,      -3.262998078,      -2.865242979,      -3.209124516,      -2.726976125
          0,           0,          69,      -3.283683537,      -2.875555726,       -3.25089828,      -2.753838564
          0,           0,          70,      -3.284309803,      -2.870691177,      -3.268769251,      -2.753938007
          0,           0,          71,      -3.273376682,      -2.863582398,      -3.253722992,      -2.734086977
          0,           0,          72,      -3.275469175,      -2.862367919,      -3.256585899,      -2.739555334
          0,           0,          73,      -3.278929323,       -2.87559081,      -3.158512897,      -2.740881191
          0,           0,          74,      -3.264931275,      -2.875884032,      -3.112342166,      -2.723709128
          0,           0,          75,      -3.270274115,      -2.880153228,      -3.188429054,      -2.730628321
          0,           0,          76,      -3.287451192,       -2.88245179,      -3.231456235,      -2.753057878
          0,           0,          77,      -3.273900767,       -2.86479607,      -3.223366457,      -2.736277496
          0,           0,          78,      -3.267768137,      -2.858690103,      -3.219310392,       -2.72633205
