,Index,X/De,Me,M2,P2/Pt,T2/Tt,P1/Pt
0,0,0.5499999999999996,1.4854975482338124,0.7178335482002025,0.6612980949577408,0.9143231999005109,0.27801652892561984
1,1,0.6499999999999998,1.6334094571612352,0.6560391355275104,0.6752356485547008,0.928879690961878,0.22536549631193264
2,2,0.7300000000000003,1.781321366088658,0.6217341718189762,0.6489280986378041,0.935553540752926,0.18366676505527962
3,3,0.8300000000000008,1.9292332750160808,0.5870296305824138,0.6073655536517646,0.9432611144818118,0.14246845342074083
4,4,0.9100000000000014,2.077145183943504,0.5642974567056113,0.5621184950110858,0.9479357386266667,0.11430318590599683
5,5,0.9800000000000018,2.2250570928709266,0.5489514060908307,0.5137534109939585,0.9495739488334324,0.09323860945030556
6,6,1.0800000000000023,2.3729690017983494,0.5251929607680241,0.4676069967917761,0.9529924900945415,0.07258920907178747
7,7,1.1500000000000028,2.520880910725772,0.5095644847175445,0.4253181575178386,0.9556655023716091,0.058489329071365864
8,8,1.230000000000003,2.668792819653195,0.49798590852381514,0.3781009448796241,0.9588226822462048,0.04635465973268853
9,9,1.3100000000000027,2.8167047285806177,0.48631464746836506,0.33681527134438416,0.9596096082559958,0.03697786978916509
10,10,1.390000000000002,2.9646166375080405,0.4780384977718781,0.29770285161809557,0.9624848599353344,0.029536407149385165
11,11,1.4700000000000015,3.1125285464354633,0.46973185583889265,0.2632234549273195,0.9618713697733997,0.02374004869242617
12,12,1.550000000000001,3.260440455362886,0.4636926762976424,0.2288679241365768,0.9632532206917216,0.01877586578114908
13,13,1.6300000000000003,3.408352364290309,0.45442422642746494,0.20572006208410526,0.9646998859817058,0.015325806775082853
14,14,1.6999999999999995,3.5562642732177316,0.45203519364159733,0.17698313144888206,0.966654179042461,0.012156955232779619
15,15,1.7799999999999991,3.7041761821451544,0.4458639751186245,0.1572999719185882,0.9661636192687704,0.009950651716656466
16,16,1.8499999999999988,3.852088091072577,0.43955329167667595,0.14195268920059523,0.9672803685287193,0.008295924079564065
17,17,1.9299999999999984,4.0,0.43801415262577753,0.12239545551679602,0.9689134416296761,0.006641196442471701
