,Index,X/De,Me,M2,P2/Pt,T2/Tt,P1/Pt
0,0,0.9199999999999998,2.1,0.5624460562249848,0.5425471747026682,0.9390852461349251,0.10933243787629915
1,1,0.9800000000000004,2.2,0.5466695165032043,0.512324632504355,0.9418123388341872,0.09330786623493229
2,2,1.0350000000000008,2.3000000000000003,0.5340442269729841,0.4801207124787966,0.9441078479409234,0.07979646499073631
3,3,1.0900000000000012,2.4,0.523002644594182,0.4499761563740179,0.9460427290933642,0.06874224767446728
4,4,1.1400000000000017,2.5,0.5142857799436346,0.41611349134049874,0.9481339080988587,0.05863150604360482
5,5,1.200000000000002,2.6,0.5036292006682517,0.38760432199277,0.9491492254771914,0.05019206419831972
6,6,1.2500000000000024,2.7,0.4960455008907178,0.3588381784026666,0.9510700416868242,0.0431108126254331
7,7,1.3050000000000028,2.8,0.48851235474099847,0.3310552665036984,0.952130495984536,0.03690253525816435
8,8,1.3600000000000032,2.9,0.4817743820112595,0.30549694824215834,0.9529783175959755,0.03172897078544047
9,9,1.4100000000000037,3.0,0.4753483056055041,0.2824875592793616,0.9543252595732059,0.027378614767895437
