"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,    -0.05250948062,       2.411454691,       2.080075259,       5.950927401
          0,           0,           1,      -0.209670964,       2.259659085,       1.936087321,       5.794485765
          0,           0,           2,     -0.3439539102,       2.127697015,       1.825850882,       5.661553408
          0,           0,           3,     -0.4225750284,       2.038437137,       1.755801742,       5.582636958
          0,           0,           4,     -0.4545107927,       1.991863469,       1.680839963,        5.54831847
          0,           0,           5,     -0.4596629841,       2.003807053,       1.615011708,       5.540987781
          0,           0,           6,     -0.4640056954,       2.026913324,       1.567397121,       5.536108593
          0,           0,           7,     -0.4965137619,       1.965006201,         1.5197798,       5.502076978
          0,           0,           8,     -0.5442269865,       1.918808124,       1.469299758,       5.450850528
          0,           0,           9,     -0.5879013017,       1.902316056,       1.496577824,       5.409286811
          0,           0,          10,     -0.6117741144,       1.924905613,       1.517323099,       5.392796187
          0,           0,          11,     -0.6052807681,       1.992229667,       1.471983223,       5.406626489
          0,           0,          12,     -0.5997925138,       2.019015671,       1.412462078,       5.412654659
          0,           0,          13,     -0.6503714006,       1.943513328,       1.378256896,       5.362253589
          0,           0,          14,     -0.6794879052,       1.912460908,       1.355815969,       5.328979682
          0,           0,          15,     -0.6697244343,        1.93114342,       1.346691324,       5.343619001
          0,           0,          16,     -0.6493039772,       1.948800799,       1.372568517,       5.361362919
          0,           0,          17,     -0.6055626837,       1.981729793,       1.500963486,       5.403524172
          0,           0,          18,     -0.5988107807,       2.011464782,       1.509656983,       5.410235743
          0,           0,          19,     -0.6095683658,       1.988472901,       1.459487936,        5.40328869
          0,           0,          20,     -0.6095442622,       1.976181323,       1.435503175,       5.403704386
          0,           0,          21,     -0.6376665393,       1.944923965,       1.413482894,       5.371404413
          0,           0,          22,     -0.6559014744,       1.933938705,       1.390597155,       5.348949542
          0,           0,          23,     -0.6407179822,       1.967915829,       1.368514867,       5.368055286
          0,           0,          24,     -0.6145967122,       1.996285125,       1.384464723,       5.397197886
          0,           0,          25,     -0.6088638997,       2.001645302,       1.477873697,       5.400576845
          0,           0,          26,     -0.6012133648,       2.019959153,       1.511650877,       5.407334118
          0,           0,          27,     -0.6210438452,       1.991082324,       1.449334378,       5.390982876
          0,           0,          28,     -0.6233080714,       1.984463365,       1.426990511,       5.391211563
          0,           0,          29,     -0.6599665252,       1.950250445,       1.375696227,       5.351787372
          0,           0,          30,     -0.6946996866,       1.932264317,       1.322656834,       5.314447208
          0,           0,          31,     -0.6822970714,       1.963756972,       1.306820316,       5.331782607
          0,           0,          32,     -0.6567160606,        1.99057977,        1.31911228,       5.360485169
          0,           0,          33,     -0.6483145219,       1.996118719,       1.440434273,       5.365752484
          0,           0,          34,     -0.6463862308,       1.968995926,       1.487547919,       5.365468595
          0,           0,          35,     -0.6699115468,       1.960689561,        1.42340604,        5.34633554
          0,           0,          36,     -0.6707383466,       1.961833397,       1.373047872,       5.349287517
          0,           0,          37,     -0.6920096054,       1.950364784,       1.312842511,       5.323352221
          0,           0,          38,     -0.6688077315,       1.970968526,       1.311238906,       5.342231493
          0,           0,          39,     -0.6609685377,       2.041068998,       1.253898495,       5.356393825
          0,           0,          40,     -0.6366780431,       2.026053338,       1.270902507,       5.386072229
          0,           0,          41,      -0.688848862,       1.957765659,       1.411431311,       5.327448101
          0,           0,          42,     -0.6652185956,       1.952338807,       1.472806236,        5.34408651
          0,           0,          43,     -0.6152541007,       2.012593272,       1.442012717,       5.398894955
          0,           0,          44,     -0.6318636184,       1.993749629,        1.37800351,       5.387735663
          0,           0,          45,      -0.676166255,       1.952657655,       1.310979491,       5.338437379
          0,           0,          46,     -0.6646966943,       1.965605642,       1.296304811,       5.345060288
          0,           0,          47,     -0.6288180521,       2.029867404,       1.275950682,       5.385434618
          0,           0,          48,     -0.6205201423,       2.018194393,       1.289917864,        5.39990826
          0,           0,          49,      -0.651008057,       1.966602231,       1.424472709,       5.364415973
          0,           0,          50,      -0.638574648,       1.968215405,       1.481310923,        5.37191375
          0,           0,          51,     -0.6104614105,       2.028486103,       1.439667397,       5.403877606
          0,           0,          52,     -0.6087519933,       2.013419001,       1.386050675,       5.411683794
          0,           0,          53,     -0.6520603424,        1.96654066,       1.342245166,       5.364110029
          0,           0,          54,     -0.6673499267,       1.959934013,       1.317233852,       5.343250713
          0,           0,          55,     -0.6615374401,       1.980858775,       1.317639358,       5.354864697
          0,           0,          56,     -0.6473307688,       2.021899606,       1.314255371,        5.37296669
          0,           0,          57,     -0.6544393094,       1.989043697,       1.433802498,       5.360492745
          0,           0,          58,     -0.6838434237,       1.927713871,       1.489272125,       5.326673221
          0,           0,          59,     -0.6591418725,       1.961847395,        1.44168338,       5.356927609
          0,           0,          60,     -0.6357473696,       2.007210839,       1.400533782,       5.384363114
          0,           0,          61,     -0.6699037332,       1.967414407,       1.330431202,       5.346441031
          0,           0,          62,     -0.6852155524,       1.995124237,       1.284055728,       5.329003829
          0,           0,          63,      -0.665935301,       2.001450208,       1.293420114,       5.354167778
          0,           0,          64,       -0.67230583,        1.98503638,       1.313675534,       5.350151822
          0,           0,          65,     -0.6656754745,       1.964257157,       1.429967131,       5.350350145
          0,           0,          66,      -0.673232833,       1.946840585,         1.4870643,        5.33934028
          0,           0,          67,     -0.6710435047,        1.98999766,       1.424742073,       5.348094789
          0,           0,          68,     -0.6603088617,       2.088980799,       1.359001693,       5.363868726
          0,           0,          69,     -0.6857597333,       2.000310234,       1.313599005,       5.332408574
          0,           0,          70,     -0.7302918118,       1.938928429,       1.264372295,       5.283101457
          0,           0,          71,     -0.6962641448,       1.962564026,        1.22586448,       5.323221252
